LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,"2,011","2,012","2,013",2014,2015,2016,2017,2018,LEVEL
General,,,,,,,,,"85,892,014","87,904,644","89,922,437","95,861,764",,,,,2
General Total,,,,,,,,,"85,892,014","87,904,644","89,922,437","95,861,764",,,,,1
Water Resources,,,,,,,,,"33,110,712","33,953,603","33,531,552","42,304,346",,,,,2
Water Resources Total,,,,,,,,,"33,110,712","33,953,603","33,531,552","42,304,346",,,,,1
Transit Services,,,,,,,,,"5,341,821","5,502,704","5,739,989","5,769,288",,,,,2
Transit Services Total,,,,,,,,,"5,341,821","5,502,704","5,739,989","5,769,288",,,,,1
Civic Center,,,,,,,,,"2,037,502","1,886,109","2,508,078","2,878,433",,,,,2
Civic Center Total,,,,,,,,,"2,037,502","1,886,109","2,508,078","2,878,433",,,,,1
Parking Services,,,,,,,,,"2,925,728","3,249,254","3,546,354","3,856,700",,,,,2
Parking Services Total,,,,,,,,,"2,925,728","3,249,254","3,546,354","3,856,700",,,,,1
Golf,,,,,,,,,"742,182","793,678","924,554",0,,,,,2
Golf Total,,,,,,,,,"742,182","793,678","924,554",0,,,,,1
Stormwater,,,,,,,,,"3,186,151","3,107,993","3,290,723","3,648,723",,,,,2
Stormwater Total,,,,,,,,,"3,186,151","3,107,993","3,290,723","3,648,723",,,,,1
Street Cut Utility,,,,,,,,,"1,170,538","1,541,598","1,834,923","1,493,808",,,,,2
Street Cut Utility Total,,,,,,,,,"1,170,538","1,541,598","1,834,923","1,493,808",,,,,1
Festivals,,,,,,,,,"491,451",0,0,0,,,,,2
Festivals Total,,,,,,,,,"491,451",0,0,0,,,,,1
FUNDS TOTAL,,,,,,,,,"134,898,099","137,939,583","141,298,610","155,813,062",,,,,0
