LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2010,2011,2012,2013,2014,LEVEL
Street Cut Utility Fund,Public Works,CAFR Preparation,,,,0.0,-109292.99,-24491.77000000002,0.0,0.0,3
Street Cut Utility Fund,Public Works,Street Cuts Division,,,,0.0,1181988.21,1447759.4500000002,1493808.0,1583814.0,3
Street Cut Utility Fund,Public Works Total,,,,,0.0,1072695.22,1423267.6800000002,1493808.0,1583814.0,2
Street Cut Utility Fund Total,,,,,,0.0,1072695.22,1423267.6800000002,1493808.0,1583814.0,1
Stormwater Fund,Public Works,Stormwater Admin Division,,,,0.0,2761741.55,2610854.44,3648723.0,5261372.0,3
Stormwater Fund,Public Works,CAFR Preparation,,,,0.0,12251.709999999972,-988056.3,0.0,0.0,3
Stormwater Fund,Public Works Total,,,,,0.0,2773993.26,1622798.1399999997,3648723.0,5261372.0,2
Stormwater Fund Total,,,,,,0.0,2773993.26,1622798.1399999997,3648723.0,5261372.0,1
Other Post-Employment Benefits,Non-Departmental,Non-Divisional,,,,0.0,0.0,0.0,0.0,0.0,3
Other Post-Employment Benefits,Non-Departmental Total,,,,,0.0,0.0,0.0,0.0,0.0,2
Other Post-Employment Benefits Total,,,,,,0.0,0.0,0.0,0.0,0.0,1
General Fund,Fire & Rescue,Fire Support Services Division,,,,2023217.6200000003,2235250.8800000004,2564722.03,2523129.0,2789662.0,3
General Fund,Fire & Rescue,Emergency Response Division,,,,1.509339369E7,1.4964336979999999E7,1.470693459E7,1.575122E7,1.6780195E7,3
General Fund,Fire & Rescue,Fire Marshals Office Division,,,,1100659.83,1192454.3599999996,1328666.6900000002,1304944.0,1208124.0,3
General Fund,Fire & Rescue Total,,,,,1.821727114E7,1.8392042220000006E7,1.8600323309999995E7,1.9579293E7,2.0777981E7,2
General Fund,Non-Departmental,Employee Health Contributions,,,,3370898.7,0.0,0.0,0.0,0.0,3
General Fund,Non-Departmental,Non-Divisional,,,,1.309077726E7,1.0942791770000003E7,1.9538902830000006E7,1.1962677E7,1.203616E7,3
General Fund,Non-Departmental,Inter-Extra Goverment Services,,,,1723695.67,1750214.59,1903463.73,2066303.0,1904947.0,3
General Fund,Non-Departmental Total,,,,,1.818537163E7,1.2693006360000003E7,2.1442366560000006E7,1.402898E7,1.3941107E7,2
General Fund,Finance,Risk Management Division,,,,250723.22999999998,234592.25,172901.19,199760.0,323525.0,3
General Fund,Finance,Budget Division,,,,193793.53000000003,184500.41999999998,186005.09,180336.0,260978.0,3
General Fund,Finance,Accounting Division,,,,1424301.96,1436836.6000000003,1145252.3800000001,1221732.0,1326372.0,3
General Fund,Finance,Purchasing Operations Division,,,,377708.58,354718.07,607483.5900000001,278846.0,334570.0,3
General Fund,Finance,Group Health Life & Dental,,,,21.81,-4470.36,0.0,0.0,0.0,3
