LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2010,2011,2012,2013,2014,LEVEL
Street Cut Utility Fund,Public Works,CAFR Preparation,,,,0.0,0.0,-153705.0,0.0,0.0,3
Street Cut Utility Fund,Public Works,Street Cuts Division,,,,0.0,1170538.0,1541597.5199999998,1493808.0,1583814.0,3
Street Cut Utility Fund,Public Works Total,,,,,0.0,1170538.0,1387892.5199999998,1493808.0,1583814.0,2
Street Cut Utility Fund Total,,,,,,0.0,1170538.0,1387892.5199999998,1493808.0,1583814.0,1
Stormwater Fund,Public Works,Stormwater Admin Division,,,,0.0,3186150.4899999998,3107992.6,3648723.0,5261372.0,3
Stormwater Fund,Public Works,CAFR Preparation,,,,0.0,-129382.0,-142045.69,0.0,0.0,3
Stormwater Fund,Public Works Total,,,,,0.0,3056768.4899999998,2965946.91,3648723.0,5261372.0,2
Stormwater Fund Total,,,,,,0.0,3056768.4899999998,2965946.91,3648723.0,5261372.0,1
Other Post-Employment Benefits,Non-Departmental,Non-Divisional,,,,0.0,0.0,0.0,0.0,0.0,3
Other Post-Employment Benefits,Non-Departmental Total,,,,,0.0,0.0,0.0,0.0,0.0,2
Other Post-Employment Benefits Total,,,,,,0.0,0.0,0.0,0.0,0.0,1
General Fund,Fire & Rescue,Fire Support Services Division,,,,1731249.2,1480060.4900000002,1751459.1700000002,1848877.0,1052289.0,3
General Fund,Fire & Rescue,Emergency Response Division,,,,11127.09,89256.35,78004.62000000001,57000.0,57000.0,3
General Fund,Fire & Rescue Total,,,,,1742376.29,1569316.8399999999,1829463.7900000003,1905877.0,1109289.0,2
General Fund,Information Technology,IT Administration Division,,,,0.0,0.0,0.0,0.0,0.0,3
General Fund,Information Technology,Information Services,,,,0.0,0.0,0.0,0.0,0.0,3
General Fund,Information Technology,IT Support Services Division,,,,0.0,0.0,18000.0,350000.0,0.0,3
General Fund,Information Technology,Technical Services Division,,,,92542.62,86155.16,660537.05,112710.0,116650.0,3
General Fund,Information Technology,GIS Appl Services Division,,,,0.0,0.0,0.0,16540.0,17050.0,3
General Fund,Information Technology Total,,,,,92542.62,86155.16,678537.05,479250.0,133700.0,2
General Fund,Non-Departmental,Employee Health Contributions,,,,3465010.17,1337.0,857.6399999999999,0.0,0.0,3
General Fund,Non-Departmental,Non-Divisional,,,,180.0,810720.71,1.066135378E7,813543.0,1629120.0,3
General Fund,Non-Departmental,Inter-Extra Goverment Services,,,,82641.21,42958.56,57042.37,50000.0,75000.0,3
General Fund,Non-Departmental Total,,,,,3547831.38,855016.27,1.0719253789999997E7,863543.0,1704120.0,2
General Fund,Parks Rec & Cultural Arts,Community Program,,,,0.0,0.0,0.0,0.0,118501.0,3
General Fund,Parks Rec & Cultural Arts,Specialized Facilities Div,,,,835408.91,857541.5499999999,792033.4700000001,634000.0,656000.0,3
General Fund,Parks Rec & Cultural Arts,Parks Maintenance Division,,,,125809.5,169226.5,154683.66,142500.0,142500.0,3
General Fund,Parks Rec & Cultural Arts,Business Services Division,,,,4.98,1150.0,0.0,0.0,0.0,3
General Fund,Parks Rec & Cultural Arts,Recreation Division,,,,532620.42,497842.22,557515.73,460375.0,437725.0,3
General Fund,Parks Rec & Cultural Arts,Parks Administration Division,,,,14290.0,0.0,0.0,75000.0,0.0,3
General Fund,Parks Rec & Cultural Arts,Cultural Arts Division,,,,40000.0,5506.0,535345.79,476000.0,0.0,3
General Fund,Parks Rec & Cultural Arts Total,,,,,1548133.81,1531266.2699999998,2039578.6500000001,1787875.0,1354726.0,2
General Fund,Transportation,Transportation Admin Div,,,,918.8,559.9,200.0,0.0,0.0,3
General Fund,Transportation,Traffic Engineering Division,,,,9744.609999999999,7473.15,8790.44,8000.0,6000.0,3
General Fund,Transportation,Transportation Planning Div,,,,1501.07,862.0,3386.56,0.0,2000.0,3
General Fund,Transportation Total,,,,,12164.48,8895.05,12377.0,8000.0,8000.0,2
General Fund,Public Works,Public Works Administration,,,,2140830.63,2172015.85,2317583.19,2403662.0,17500.0,3
General Fund,Public Works,Sanitation Division,,,,1126721.21,1203163.4100000001,1318409.0399999998,2464500.0,2620000.0,3
General Fund,Public Works,Streets & Sidewalks Division,,,,163268.15000000002,91186.73,356281.15,130006.0,2580593.0,3
General Fund,Public Works,Street Lighting Division,,,,0.0,0.0,1165.42,0.0,0.0,3
General Fund,Public Works,Engineering Services Division,,,,26100.47,76084.95,40786.770000000004,0.0,0.0,3
General Fund,Public Works Total,,,,,3456920.46,3542450.9400000004,4034225.57,4998168.0,5218093.0,2
General Fund,Finance,Budget Division,,,,2676753.0,2499821.0,2349404.0,2009225.0,3857824.0,3
General Fund,Finance,Accounting Division,,,,9374963.360000001,1.046038447E7,1.01184965E7,9907623.0,1.0336402E7,3
General Fund,Finance,Purchasing Operations Division,,,,28143.94,118986.78,368129.59,68000.0,108000.0,3
General Fund,Finance,Group Health Life & Dental,,,,0.0,0.0,0.0,0.0,0.0,3
General Fund,Finance,Finance Administration,,,,6.020100885999999E7,6.15145081E7,6.319430403E7,7.0223252E7,7.1497239E7,3
General Fund,Finance Total,,,,,7.228086915999997E7,7.459370034999998E7,7.603033412E7,8.22081E7,8.5799465E7,2
General Fund,Planning & Development,Planning Services Division,,,,287326.45,516858.05999999994,337764.55000000005,330250.0,236250.0,3
General Fund,Planning & Development,Community Development Division,,,,32993.0,45732.47,41717.59,56780.0,32000.0,3
General Fund,Planning & Development,Historic Resources Division,,,,5557.0,6625.0,9663.58,12925.0,12925.0,3
General Fund,Planning & Development Total,,,,,325876.45,569215.5299999999,389145.72,399955.0,281175.0,2
General Fund,Building Safety,Permitting & Inspections Div,,,,2575356.73,2143310.63,2279823.9699999997,2214450.0,2928158.0,3
General Fund,Building Safety Total,,,,,2575356.73,2143310.63,2279823.9699999997,2214450.0,2928158.0,2
General Fund,Economic Development,Economic Development Division,,,,15983.4,40333.100000000006,-10000.0,36096.0,41096.0,3
General Fund,Economic Development Total,,,,,15983.4,40333.100000000006,-10000.0,36096.0,41096.0,2
General Fund,Human Resources,Health Clinic Services,,,,0.0,0.0,0.0,0.0,0.0,3
