Fund,Department,Division,Account,Amount,Annotation
General Fund,Public Works Department,Streets & Sidewalks Division,Group Insurance Expense,0.0, 
General Fund,Transportation Department,Traffic Engineering Division,Sales and Services,1565.44, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,-300.0, 
General Fund,Information Technology Dept.,Information Services,Criminal Justice Info System,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Oth Loc Partic Group Applicat,900.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Overtime,2307.26, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Temp/Seasonal,-4320.779999999999, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Part Time,-1759.4400000000023, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Compensation - Full Time Reg,-19862.81, 
General Fund,Public Works Department,Streets & Sidewalks Division,FICA Tax Expense,540.9000000000015, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - LGERS,-256.97000000000116, 
General Fund,Public Works Department,Sanitation Division,Fleet Maintenance Charges,0.0, 
General Fund,Planning & Development Dept,Historic Resources Division,Supplies - Books/Audio Visual,1261.46, 
General Fund,Public Works Department,Streets & Sidewalks Division,Employer - 401(K),45.530000000000655, 
General Fund,Planning & Development Dept,Historic Resources Division,Supplies - Other,51.02999999999997, 
General Fund,Finance Department,Finance Administration,Prior Year DMV Taxes 2008,5586.2, 
General Fund,Planning & Development Dept,Historic Resources Division,Services - Postage,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2007,4966.31, 
General Fund,Administration Services Dept,Building Maintenance,Other Capital Outlay,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Professional Services,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV Taxes 2009,11744.33, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2004,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Services - Copying and Dupl,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2003,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Installment Purch Proceed,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2006,3867.02, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2005,-186922.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2000,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2002,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV  Taxes 2001,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Contracted Services,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Materials,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Natural Gas,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Sewer,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Water,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Overtime,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Compensation - Full Time Reg,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Class Participation Fees,-447.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Overages & Shortages,0.0, 
Stormwater Fund,Public Works Department,Stormwater Admin Division,Fines & Fees Permit Penalties,-16383.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV Taxes 2012,0.0, 
General Fund,Finance Department,Finance Administration,Prior Year DMV Taxes 2011,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Parks Maintenance Division,Rents - Rental Income,16798.5, 
General Fund,Finance Department,Finance Administration,Prior Year DMV Taxes 2010,102077.95, 
General Fund,Legal Department,Legal Division,Compensation - Overtime,518.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Telephone,-2460.1, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Long Distance,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Contra Non-Labor - Powell Bill,0.0, 
General Fund,Legal Department,Legal Division,Compensation - Full Time Reg,47899.619999999995, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Mileage Reimbursement,370.34000000000003, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Cellular Usage,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Pager Service,0.0, 
General Fund,Legal Department,Legal Division,Compensation - Temp/Seasonal,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Bank Fees,1729.19, 
General Fund,Legal Department,Legal Division,Compensation - Part Time,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Recreation Division,Electricity,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Cultural Arts Division,Licenses Taxes & Fees,500.0, 
General Fund,Public Works Department,Engineering Services Division,Materials,44584.71000000001, 
General Fund,Police Department,Police Support Division,License&Permits Dogs,9004.5, 
General Fund,Police Department,Police Support Division,License&Permits Multi Animals,250.0, 
General Fund,Police Department,Police Support Division,License&Permits Livestock,825.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Other Financing Uses- PPA,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Training,218.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Admission Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Community Program,Class Participation Fees,0.0, 
General Fund,Parks Rec & Cultural Arts Dept,Business Services Division,Telephone,104.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Dues & Subscriptions,0.0, 
General Fund,Public Works Department,Streets & Sidewalks Division,Training,2096.0, 
Stormwater Fund,Public Works Department,CAFR Preparation,Principal Payments,129382.0, 
General Fund,Parks Rec & Cultural Arts Dept,Specialized Facilities Div,Services - Advertising,0.0, 
